,player,team,comp,surname
1035,adil,pondicherry,col_c_k_nayudu,adil
1036,akash pugazhanthi,pondicherry,col_c_k_nayudu,pugazhanthi
1037,aman ahuja,pondicherry,col_c_k_nayudu,ahuja
1038,arshil rajendra,pondicherry,col_c_k_nayudu,rajendra
1039,bharat rawat,pondicherry,col_c_k_nayudu,rawat
1040,dhruv reddy,pondicherry,col_c_k_nayudu,reddy
1041,gautam dileep,pondicherry,col_c_k_nayudu,dileep
1042,karan kannan,pondicherry,col_c_k_nayudu,kannan
1043,karthiraja u,pondicherry,col_c_k_nayudu,u
1044,naman satish sharma,pondicherry,col_c_k_nayudu,sharma
1045,neyan kangayan,pondicherry,col_c_k_nayudu,kangayan
1046,nithiyananda,pondicherry,col_c_k_nayudu,nithiyananda
1047,nitin pranaav v,pondicherry,col_c_k_nayudu,v
1048,p shailesh vaithianathan,pondicherry,col_c_k_nayudu,vaithianathan
1049,p sunil,pondicherry,col_c_k_nayudu,sunil
1050,r jashwanth shreeram,pondicherry,col_c_k_nayudu,shreeram
1051,ragavan,pondicherry,col_c_k_nayudu,ragavan
1052,rahul rajeev yadav,pondicherry,col_c_k_nayudu,yadav
1053,s saichetan,pondicherry,col_c_k_nayudu,saichetan
1054,sai hariram k,pondicherry,col_c_k_nayudu,k
1055,sambhav parakh,pondicherry,col_c_k_nayudu,parakh
1056,shashank,pondicherry,col_c_k_nayudu,shashank
1057,sunil bishnoi,pondicherry,col_c_k_nayudu,bishnoi
1058,tejveer singh,pondicherry,col_c_k_nayudu,singh
1059,ujwal s gowda,pondicherry,col_c_k_nayudu,gowda
1060,v k gupta,pondicherry,col_c_k_nayudu,gupta
1061,vaibhav m,pondicherry,col_c_k_nayudu,m
1062,vaibhav singh,pondicherry,col_c_k_nayudu,singh
1063,vikram,pondicherry,col_c_k_nayudu,vikram
1064,y saie sharan,pondicherry,col_c_k_nayudu,sharan
1065,abhay choudhary,punjab,col_c_k_nayudu,choudhary
1066,abir kohli,punjab,col_c_k_nayudu,kohli
1067,anshul negi,punjab,col_c_k_nayudu,negi
1068,aradhya shukla,punjab,col_c_k_nayudu,shukla
1069,arpan walia,punjab,col_c_k_nayudu,walia
1070,aryaman dhaliwal,punjab,col_c_k_nayudu,dhaliwal
1071,aryan bhatia,punjab,col_c_k_nayudu,bhatia
1072,aryan mehra,punjab,col_c_k_nayudu,mehra
1073,aseem kohli,punjab,col_c_k_nayudu,kohli
1074,ayush goyal,punjab,col_c_k_nayudu,goyal
1075,deepam,punjab,col_c_k_nayudu,deepam
1076,deloye kumar goyal,punjab,col_c_k_nayudu,goyal
1077,dhruv m,punjab,col_c_k_nayudu,m
1078,eish rao,punjab,col_c_k_nayudu,rao
1079,emanjot singh chahal,punjab,col_c_k_nayudu,chahal
1080,haradesh brar,punjab,col_c_k_nayudu,brar
1081,harjas singh tandon,punjab,col_c_k_nayudu,tandon
1082,harjot singh,punjab,col_c_k_nayudu,singh
1083,harnoor singh,punjab,col_c_k_nayudu,singh
1084,harshdeep singh,punjab,col_c_k_nayudu,singh
1085,havneet singh,punjab,col_c_k_nayudu,singh
1086,jaskaranvir  singh paul,punjab,col_c_k_nayudu,paul
1087,jatin sahota,punjab,col_c_k_nayudu,sahota
1088,jovanpreet singh,punjab,col_c_k_nayudu,singh
1089,karman,punjab,col_c_k_nayudu,karman
1090,karteek sharma,punjab,col_c_k_nayudu,sharma
1091,kartik chadha,punjab,col_c_k_nayudu,chadha
1092,krish bhagat,punjab,col_c_k_nayudu,bhagat
1093,lovejit,punjab,col_c_k_nayudu,lovejit
1094,manav vashisht,punjab,col_c_k_nayudu,vashisht
1095,manish sheoran,punjab,col_c_k_nayudu,sheoran
1096,mayank gupta,punjab,col_c_k_nayudu,gupta
1097,mridul,punjab,col_c_k_nayudu,mridul
1098,navpreet,punjab,col_c_k_nayudu,navpreet
1099,pankaj rattu,punjab,col_c_k_nayudu,rattu
1100,parmish kumar,punjab,col_c_k_nayudu,kumar
1101,pukhraj dhaliwal,punjab,col_c_k_nayudu,dhaliwal
1102,rahul singh,punjab,col_c_k_nayudu,singh
1103,rahul uppal,punjab,col_c_k_nayudu,uppal
1104,rajinder singh,punjab,col_c_k_nayudu,singh
1105,rushil shrivastava,punjab,col_c_k_nayudu,shrivastava
1106,sahil sharma,punjab,col_c_k_nayudu,sharma
1107,saksham singh,punjab,col_c_k_nayudu,singh
1108,salil arora,punjab,col_c_k_nayudu,arora
1109,shivein rakheja,punjab,col_c_k_nayudu,rakheja
1110,simranjeet,punjab,col_c_k_nayudu,simranjeet
1111,taranveer,punjab,col_c_k_nayudu,taranveer
1112,uday saharan,punjab,col_c_k_nayudu,saharan
1113,vansh yadav,punjab,col_c_k_nayudu,yadav
1114,yash karan,punjab,col_c_k_nayudu,karan
1115,abhishek kaushal,railways,col_c_k_nayudu,kaushal
1116,akhil ahlawat,railways,col_c_k_nayudu,ahlawat
1117,anchit yadav,railways,col_c_k_nayudu,yadav
1118,ankit,railways,col_c_k_nayudu,ankit
1119,ansh yadav,railways,col_c_k_nayudu,yadav
1120,arpit,railways,col_c_k_nayudu,arpit
1121,avinash,railways,col_c_k_nayudu,avinash
1122,brijendra tripathi,railways,col_c_k_nayudu,tripathi
1123,damandeep singh,railways,col_c_k_nayudu,singh
1124,debopratim halder,railways,col_c_k_nayudu,halder
1125,deepanshu chaudhary,railways,col_c_k_nayudu,chaudhary
1126,eshaan goyal,railways,col_c_k_nayudu,goyal
1127,jayant kaiwart,railways,col_c_k_nayudu,kaiwart
1128,jayant lakhlan,railways,col_c_k_nayudu,lakhlan
1129,kirtivardhan upadhyay,railways,col_c_k_nayudu,upadhyay
1130,lakhan b mankas,railways,col_c_k_nayudu,mankas
1131,m d jaiswal,railways,col_c_k_nayudu,jaiswal
1132,pratham mishra,railways,col_c_k_nayudu,mishra
1133,raj nayak,railways,col_c_k_nayudu,nayak
1134,rakesh kumar sahoo,railways,col_c_k_nayudu,sahoo
1135,shivam gautam,railways,col_c_k_nayudu,gautam
1136,sk jani basha,railways,col_c_k_nayudu,basha
1137,sonu chhikara,railways,col_c_k_nayudu,chhikara
1138,toufik uddin,railways,col_c_k_nayudu,uddin
1139,umar malick,railways,col_c_k_nayudu,malick
1140,vaibhav pandey,railways,col_c_k_nayudu,pandey
1141,vinay sharma,railways,col_c_k_nayudu,sharma
1142,a sharma,rajasthan,col_c_k_nayudu,sharma
1143,aa jain,rajasthan,col_c_k_nayudu,jain
1144,aa malik,rajasthan,col_c_k_nayudu,malik
1145,abhishek singh chouhan,rajasthan,col_c_k_nayudu,chouhan
1146,aman meena,rajasthan,col_c_k_nayudu,meena
1147,amol chelani,rajasthan,col_c_k_nayudu,chelani
1148,anirudh singh,rajasthan,col_c_k_nayudu,singh
1149,ayush ameriya,rajasthan,col_c_k_nayudu,ameriya
1150,b v sharma,rajasthan,col_c_k_nayudu,sharma
1151,chetan sharma,rajasthan,col_c_k_nayudu,sharma
1152,deependra singh,rajasthan,col_c_k_nayudu,singh
1153,dev yadav,rajasthan,col_c_k_nayudu,yadav
1154,devkrit sharma,rajasthan,col_c_k_nayudu,sharma
1155,dharmveer saini,rajasthan,col_c_k_nayudu,saini
1156,digvijay,rajasthan,col_c_k_nayudu,digvijay
1157,dr gajraj,rajasthan,col_c_k_nayudu,gajraj
1158,dushyant kachhawaha,rajasthan,col_c_k_nayudu,kachhawaha
1159,ganesh hingra,rajasthan,col_c_k_nayudu,hingra
1160,ganesh suthar,rajasthan,col_c_k_nayudu,suthar
1161,h k joshi,rajasthan,col_c_k_nayudu,joshi
1162,hardik mewara,rajasthan,col_c_k_nayudu,mewara
1163,himanshu nehra,rajasthan,col_c_k_nayudu,nehra
1164,himanshu pujari,rajasthan,col_c_k_nayudu,pujari
1165,ishaan yadav,rajasthan,col_c_k_nayudu,yadav
1166,jaskaran singh,rajasthan,col_c_k_nayudu,singh
1167,jayant gedhar,rajasthan,col_c_k_nayudu,gedhar
1168,jayant tambi,rajasthan,col_c_k_nayudu,tambi
1169,jaywardhan singh,rajasthan,col_c_k_nayudu,singh
1170,jiten kumawat,rajasthan,col_c_k_nayudu,kumawat
1171,karan lamba,rajasthan,col_c_k_nayudu,lamba
1172,karan singh,rajasthan,col_c_k_nayudu,singh
1173,lokendra singh rathore,rajasthan,col_c_k_nayudu,rathore
1174,m choudhary,rajasthan,col_c_k_nayudu,choudhary
1175,m k changra,rajasthan,col_c_k_nayudu,changra
1176,mahendra mahala,rajasthan,col_c_k_nayudu,mahala
1177,md gazi khan,rajasthan,col_c_k_nayudu,khan
1178,meet bhavsar,rajasthan,col_c_k_nayudu,bhavsar
1179,naman katariya,rajasthan,col_c_k_nayudu,katariya
1180,nh sachdev,rajasthan,col_c_k_nayudu,sachdev
1181,p m singh rathore,rajasthan,col_c_k_nayudu,rathore
1182,prem parihar,rajasthan,col_c_k_nayudu,parihar
1183,r h sharma,rajasthan,col_c_k_nayudu,sharma
1184,rahul choudhary,rajasthan,col_c_k_nayudu,choudhary
1185,rahul choudhary,rajasthan,col_c_k_nayudu,choudhary
1186,rohan vijay rajbhar,rajasthan,col_c_k_nayudu,rajbhar
1187,rp garg,rajasthan,col_c_k_nayudu,garg
1188,sa yadav,rajasthan,col_c_k_nayudu,yadav
1189,sachin kakodia,rajasthan,col_c_k_nayudu,kakodia
1190,salaudeen,rajasthan,col_c_k_nayudu,salaudeen
1191,samrat singh shekhawat,rajasthan,col_c_k_nayudu,shekhawat
1192,sangram singh,rajasthan,col_c_k_nayudu,singh
1193,sohan jaif,rajasthan,col_c_k_nayudu,jaif
1194,sumit godara,rajasthan,col_c_k_nayudu,godara
1195,t khan,rajasthan,col_c_k_nayudu,khan
1196,v s tiwari,rajasthan,col_c_k_nayudu,tiwari
1197,vikas lohia,rajasthan,col_c_k_nayudu,lohia
1198,vishal godara,rajasthan,col_c_k_nayudu,godara
1199,yuvraj singh,rajasthan,col_c_k_nayudu,singh
1200,aatik jafai,saurashtra,col_c_k_nayudu,jafai
1201,abhishek nimavat,saurashtra,col_c_k_nayudu,nimavat
1202,aditya yadav,saurashtra,col_c_k_nayudu,yadav
1203,adityaraj rathore,saurashtra,col_c_k_nayudu,rathore
1204,adityasinh h jadeja,saurashtra,col_c_k_nayudu,jadeja
1205,akash parmar,saurashtra,col_c_k_nayudu,parmar
1206,ansh gosai,saurashtra,col_c_k_nayudu,gosai
1207,arjun,saurashtra,col_c_k_nayudu,arjun
1208,aum kanabar,saurashtra,col_c_k_nayudu,kanabar
1209,bablu yadav,saurashtra,col_c_k_nayudu,yadav
1210,bhagyarajsinh chudasama,saurashtra,col_c_k_nayudu,chudasama
1211,bhavan,saurashtra,col_c_k_nayudu,bhavan
1212,brij shah,saurashtra,col_c_k_nayudu,shah
1213,chaitanya jadeja,saurashtra,col_c_k_nayudu,jadeja
1214,d gohil,saurashtra,col_c_k_nayudu,gohil
1215,daksh bhindi,saurashtra,col_c_k_nayudu,bhindi
1216,darshak parmar,saurashtra,col_c_k_nayudu,parmar
1217,deep baraiya,saurashtra,col_c_k_nayudu,baraiya
1218,dev,saurashtra,col_c_k_nayudu,dev
1219,devarsh mehta,saurashtra,col_c_k_nayudu,mehta
1220,dharam a changela,saurashtra,col_c_k_nayudu,changela
1221,dhruv goswami,saurashtra,col_c_k_nayudu,goswami
1222,dhyey mehta,saurashtra,col_c_k_nayudu,mehta
1223,digvijaysinh,saurashtra,col_c_k_nayudu,digvijaysinh
1224,digvijaysinh jadeja,saurashtra,col_c_k_nayudu,jadeja
1225,divyang gohel,saurashtra,col_c_k_nayudu,gohel
1226,gajjar  sammar,saurashtra,col_c_k_nayudu,sammar
1227,gaurang,saurashtra,col_c_k_nayudu,gaurang
1228,h s kotak,saurashtra,col_c_k_nayudu,kotak
1229,harsh parmar,saurashtra,col_c_k_nayudu,parmar
1230,harshvardhan,saurashtra,col_c_k_nayudu,harshvardhan
1231,hiten kanbi,saurashtra,col_c_k_nayudu,kanbi
1232,jainam,saurashtra,col_c_k_nayudu,jainam
1233,jash trivedi,saurashtra,col_c_k_nayudu,trivedi
1234,jason chag,saurashtra,col_c_k_nayudu,chag
1235,javed dal,saurashtra,col_c_k_nayudu,dal
1236,jaypal chauhan,saurashtra,col_c_k_nayudu,chauhan
1237,jayvardhansinh jadeja,saurashtra,col_c_k_nayudu,jadeja
1238,jeet khakhria,saurashtra,col_c_k_nayudu,khakhria
1239,jeet kher,saurashtra,col_c_k_nayudu,kher
1240,jetavat harivadansinh,saurashtra,col_c_k_nayudu,harivadansinh
1241,kabir patel,saurashtra,col_c_k_nayudu,patel
1242,kalp,saurashtra,col_c_k_nayudu,kalp
1243,karan suchak,saurashtra,col_c_k_nayudu,suchak
1244,karnav rathod,saurashtra,col_c_k_nayudu,rathod
1245,kashyap suva,saurashtra,col_c_k_nayudu,suva
1246,kathankumar,saurashtra,col_c_k_nayudu,kathankumar
1247,kishan k vadhiya,saurashtra,col_c_k_nayudu,vadhiya
1248,krains fuletra,saurashtra,col_c_k_nayudu,fuletra
1249,krish,saurashtra,col_c_k_nayudu,krish
1250,krushna babaria,saurashtra,col_c_k_nayudu,babaria
1251,kushal jasani,saurashtra,col_c_k_nayudu,jasani
1252,lekh joshi,saurashtra,col_c_k_nayudu,joshi
1253,luckyraj,saurashtra,col_c_k_nayudu,luckyraj
1254,makwana akshat,saurashtra,col_c_k_nayudu,akshat
1255,makwana hiren,saurashtra,col_c_k_nayudu,hiren
1256,manav,saurashtra,col_c_k_nayudu,manav
1257,manav chothani,saurashtra,col_c_k_nayudu,chothani
1258,manav khunt,saurashtra,col_c_k_nayudu,khunt
1259,manjit kumkhaniya,saurashtra,col_c_k_nayudu,kumkhaniya
1260,mann bhatt,saurashtra,col_c_k_nayudu,bhatt
1261,maurya ghoghari,saurashtra,col_c_k_nayudu,ghoghari
1262,meet,saurashtra,col_c_k_nayudu,meet
1263,meet g,saurashtra,col_c_k_nayudu,g
1264,morya shivam,saurashtra,col_c_k_nayudu,shivam
1265,namya,saurashtra,col_c_k_nayudu,namya
1266,neel pandya,saurashtra,col_c_k_nayudu,pandya
1267,nihal chaudhari,saurashtra,col_c_k_nayudu,chaudhari
1268,p chauhan,saurashtra,col_c_k_nayudu,chauhan
1269,parin shah,saurashtra,col_c_k_nayudu,shah
1270,pranay thapa,saurashtra,col_c_k_nayudu,thapa
1271,prasham rajdev,saurashtra,col_c_k_nayudu,rajdev
1272,prem zaveri,saurashtra,col_c_k_nayudu,zaveri
1273,prince chovatiya,saurashtra,col_c_k_nayudu,chovatiya
1274,pruthviraj kataria,saurashtra,col_c_k_nayudu,kataria
1275,r k patel,saurashtra,col_c_k_nayudu,patel
1276,rahul bera,saurashtra,col_c_k_nayudu,bera
1277,raj,saurashtra,col_c_k_nayudu,raj
1278,raj waghela,saurashtra,col_c_k_nayudu,waghela
1279,rajdeep,saurashtra,col_c_k_nayudu,rajdeep
1280,rakesh p p,saurashtra,col_c_k_nayudu,p
1281,ramdev,saurashtra,col_c_k_nayudu,ramdev
1282,rathod chandraraj,saurashtra,col_c_k_nayudu,chandraraj
1283,ravi,saurashtra,col_c_k_nayudu,ravi
1284,raxit mehta,saurashtra,col_c_k_nayudu,mehta
1285,ridham nakum,saurashtra,col_c_k_nayudu,nakum
1286,rizwan dal,saurashtra,col_c_k_nayudu,dal
1287,rushi chauhan,saurashtra,col_c_k_nayudu,chauhan
1288,rushil paun,saurashtra,col_c_k_nayudu,paun
1289,s p khamrai,saurashtra,col_c_k_nayudu,khamrai
1290,saurav s sharma,saurashtra,col_c_k_nayudu,sharma
1291,shrut,saurashtra,col_c_k_nayudu,shrut
1292,smit dave,saurashtra,col_c_k_nayudu,dave
1293,smitrajsinh,saurashtra,col_c_k_nayudu,smitrajsinh
1294,sneh fufal,saurashtra,col_c_k_nayudu,fufal
1295,tirthrajsinh jadeja,saurashtra,col_c_k_nayudu,jadeja
1296,v s jadeja,saurashtra,col_c_k_nayudu,jadeja
1297,vaibhav ramanuj,saurashtra,col_c_k_nayudu,ramanuj
1298,varshil,saurashtra,col_c_k_nayudu,varshil
1299,vasu,saurashtra,col_c_k_nayudu,vasu
1300,veer k kariya,saurashtra,col_c_k_nayudu,kariya
1301,vinit vaghela,saurashtra,col_c_k_nayudu,vaghela
1302,viraj,saurashtra,col_c_k_nayudu,viraj
1303,vishram gadhavi,saurashtra,col_c_k_nayudu,gadhavi
1304,vishvesh,saurashtra,col_c_k_nayudu,vishvesh
1305,yashvendra gaur,saurashtra,col_c_k_nayudu,gaur
1306,yug sanghvi,saurashtra,col_c_k_nayudu,sanghvi
1307,yuvrajsinh shinol,saurashtra,col_c_k_nayudu,shinol
1308,aadil,sikkim,col_c_k_nayudu,aadil
1309,abishek,sikkim,col_c_k_nayudu,abishek
1310,abishek,sikkim,col_c_k_nayudu,abishek
1311,aditya chettri,sikkim,col_c_k_nayudu,chettri
1312,adiv,sikkim,col_c_k_nayudu,adiv
1313,alauddin,sikkim,col_c_k_nayudu,alauddin
1314,arnav,sikkim,col_c_k_nayudu,arnav
1315,bijay,sikkim,col_c_k_nayudu,bijay
1316,elisha,sikkim,col_c_k_nayudu,elisha
1317,emamudin,sikkim,col_c_k_nayudu,emamudin
1318,ingsho limboo,sikkim,col_c_k_nayudu,limboo
1319,karma wangchuk,sikkim,col_c_k_nayudu,wangchuk
1320,kshiteez,sikkim,col_c_k_nayudu,kshiteez
1321,md arif,sikkim,col_c_k_nayudu,arif
1322,md talim,sikkim,col_c_k_nayudu,talim
1323,parichit,sikkim,col_c_k_nayudu,parichit
1324,purna,sikkim,col_c_k_nayudu,purna
1325,rahul kumar,sikkim,col_c_k_nayudu,kumar
1326,reshi,sikkim,col_c_k_nayudu,reshi
1327,robin limboo,sikkim,col_c_k_nayudu,limboo
1328,roshan,sikkim,col_c_k_nayudu,roshan
1329,roshan pd,sikkim,col_c_k_nayudu,pd
1330,safal,sikkim,col_c_k_nayudu,safal
1331,sajal thapa,sikkim,col_c_k_nayudu,thapa
1332,sanjur,sikkim,col_c_k_nayudu,sanjur
1333,siddharth,sikkim,col_c_k_nayudu,siddharth
1334,suman,sikkim,col_c_k_nayudu,suman
1335,sunil kumar,sikkim,col_c_k_nayudu,kumar
1336,tarun sharma,sikkim,col_c_k_nayudu,sharma
1337,vivek kr,sikkim,col_c_k_nayudu,kr
1338,yogesh gupta,sikkim,col_c_k_nayudu,gupta
1339,a badrinath,tamil nadu,col_c_k_nayudu,badrinath
1340,a mohammed tibiyan,tamil nadu,col_c_k_nayudu,tibiyan
1341,adittya varadharajan,tamil nadu,col_c_k_nayudu,varadharajan
1342,ajay chetan,tamil nadu,col_c_k_nayudu,chetan
1343,ajitesh g,tamil nadu,col_c_k_nayudu,g
1344,andre siddarth,tamil nadu,col_c_k_nayudu,siddarth
1345,b aaditya,tamil nadu,col_c_k_nayudu,aaditya
1346,b sachin,tamil nadu,col_c_k_nayudu,sachin
1347,boopathi vaishna kumar m,tamil nadu,col_c_k_nayudu,m
1348,c v achyuth,tamil nadu,col_c_k_nayudu,achyuth
1349,g govinth,tamil nadu,col_c_k_nayudu,govinth
1350,hari ragavendra vijayan,tamil nadu,col_c_k_nayudu,vijayan
1351,k t a madhava prasad,tamil nadu,col_c_k_nayudu,prasad
1352,kirubakar ravindran,tamil nadu,col_c_k_nayudu,ravindran
1353,lakshay jain s,tamil nadu,col_c_k_nayudu,s
1354,manav parakh,tamil nadu,col_c_k_nayudu,parakh
1355,nirmal kumar p,tamil nadu,col_c_k_nayudu,p
1356,p vignesh,tamil nadu,col_c_k_nayudu,vignesh
1357,prashid akash h,tamil nadu,col_c_k_nayudu,h
1358,r vimal khumar,tamil nadu,col_c_k_nayudu,khumar
1359,rohan j,tamil nadu,col_c_k_nayudu,j
1360,s adithya geethan,tamil nadu,col_c_k_nayudu,geethan
1361,s mohamed ali,tamil nadu,col_c_k_nayudu,ali
1362,s r athish,tamil nadu,col_c_k_nayudu,athish
1363,s rithik easwaran,tamil nadu,col_c_k_nayudu,easwaran
1364,sachin rathi,tamil nadu,col_c_k_nayudu,rathi
1365,sai  karthick,tamil nadu,col_c_k_nayudu,karthick
1366,selvaganapathi s,tamil nadu,col_c_k_nayudu,s
1367,shubhan,tamil nadu,col_c_k_nayudu,shubhan
1368,sunny,tamil nadu,col_c_k_nayudu,sunny
1369,v arunachalam,tamil nadu,col_c_k_nayudu,arunachalam
1370,v p amith sathvik,tamil nadu,col_c_k_nayudu,sathvik
1371,v p diran,tamil nadu,col_c_k_nayudu,diran
1372,v s karthick manikandan,tamil nadu,col_c_k_nayudu,manikandan
1373,abhijit debbarma,tripura,col_c_k_nayudu,debbarma
1374,amit ali,tripura,col_c_k_nayudu,ali
1375,anandh bhowmik,tripura,col_c_k_nayudu,bhowmik
1376,anik paul,tripura,col_c_k_nayudu,paul
1377,arindam barman,tripura,col_c_k_nayudu,barman
1378,arkajit das,tripura,col_c_k_nayudu,das
1379,arman hossain,tripura,col_c_k_nayudu,hossain
1380,danveer singh,tripura,col_c_k_nayudu,singh
1381,debangshu datta,tripura,col_c_k_nayudu,datta
1382,debraj dey,tripura,col_c_k_nayudu,dey
1383,deepjoy deb,tripura,col_c_k_nayudu,deb
1384,dipen biswas,tripura,col_c_k_nayudu,biswas
1385,diptanu chakraborty,tripura,col_c_k_nayudu,chakraborty
1386,durlab roy,tripura,col_c_k_nayudu,roy
1387,hrituraj ghosh roy,tripura,col_c_k_nayudu,roy
1388,indrajit debnath,tripura,col_c_k_nayudu,debnath
1389,janak reang,tripura,col_c_k_nayudu,reang
1390,jayanta bhattacharajee,tripura,col_c_k_nayudu,bhattacharajee
1391,mijanur rahaman podder,tripura,col_c_k_nayudu,podder
1392,nabarun chakraborty,tripura,col_c_k_nayudu,chakraborty
1393,pamir debnath,tripura,col_c_k_nayudu,debnath
1394,parvez sultan,tripura,col_c_k_nayudu,sultan
1395,priansh mitra,tripura,col_c_k_nayudu,mitra
1396,pritam das,tripura,col_c_k_nayudu,das
1397,rajdeep datta,tripura,col_c_k_nayudu,datta
1398,ribrajit das,tripura,col_c_k_nayudu,das
1399,rohan biwas,tripura,col_c_k_nayudu,biwas
1400,rohit ghosh,tripura,col_c_k_nayudu,ghosh
1401,sahil sultan,tripura,col_c_k_nayudu,sultan
1402,samrat biswas,tripura,col_c_k_nayudu,biswas
1403,sandip sarkar,tripura,col_c_k_nayudu,sarkar
1404,saptajit das,tripura,col_c_k_nayudu,das
1405,sentu sarkar,tripura,col_c_k_nayudu,sarkar
1406,sourav das,tripura,col_c_k_nayudu,das
1407,sourav kar,tripura,col_c_k_nayudu,kar
1408,sridam paul,tripura,col_c_k_nayudu,paul
1409,swarab sahani,tripura,col_c_k_nayudu,sahani
1410,tanmoy das,tripura,col_c_k_nayudu,das
1411,tathagata chakraborty,tripura,col_c_k_nayudu,chakraborty
1412,aaqib khan,uttar pradesh,col_c_k_nayudu,khan
1413,aaradhya yadav,uttar pradesh,col_c_k_nayudu,yadav
1414,aarush goel,uttar pradesh,col_c_k_nayudu,goel
1415,abdul rehman,uttar pradesh,col_c_k_nayudu,rehman
1416,abdul waseem,uttar pradesh,col_c_k_nayudu,waseem
1417,abhishek s tomar,uttar pradesh,col_c_k_nayudu,tomar
1418,adarsh mishra,uttar pradesh,col_c_k_nayudu,mishra
1419,adarsh singh,uttar pradesh,col_c_k_nayudu,singh
1420,ajay kumar,uttar pradesh,col_c_k_nayudu,kumar
1421,aksh singhal,uttar pradesh,col_c_k_nayudu,singhal
1422,aniket,uttar pradesh,col_c_k_nayudu,aniket
1423,ansh tiwari,uttar pradesh,col_c_k_nayudu,tiwari
1424,anubhav,uttar pradesh,col_c_k_nayudu,anubhav
1425,bhaskar bhardwaj,uttar pradesh,col_c_k_nayudu,bhardwaj
1426,dhananjay yadav,uttar pradesh,col_c_k_nayudu,yadav
1427,hitesh kumar,uttar pradesh,col_c_k_nayudu,kumar
1428,jamshed alam,uttar pradesh,col_c_k_nayudu,alam
1429,kavya teotia,uttar pradesh,col_c_k_nayudu,teotia
1430,kunal tyagi,uttar pradesh,col_c_k_nayudu,tyagi
1431,manav sindhu,uttar pradesh,col_c_k_nayudu,sindhu
1432,manish kumar,uttar pradesh,col_c_k_nayudu,kumar
1433,manish singh solanki,uttar pradesh,col_c_k_nayudu,solanki
1434,mohd aashiyan,uttar pradesh,col_c_k_nayudu,aashiyan
1435,mohd amaan,uttar pradesh,col_c_k_nayudu,amaan
1436,nadeem,uttar pradesh,col_c_k_nayudu,nadeem
1437,naman tiwari,uttar pradesh,col_c_k_nayudu,tiwari
1438,navneet kumar,uttar pradesh,col_c_k_nayudu,kumar
1439,nikhil pratap rao,uttar pradesh,col_c_k_nayudu,rao
1440,nishant thakur,uttar pradesh,col_c_k_nayudu,thakur
1441,prashant veer,uttar pradesh,col_c_k_nayudu,veer
1442,prateek pandey,uttar pradesh,col_c_k_nayudu,pandey
1443,rahul yadav,uttar pradesh,col_c_k_nayudu,yadav
1444,rao rituraj singh,uttar pradesh,col_c_k_nayudu,singh
1445,rishabh bansal,uttar pradesh,col_c_k_nayudu,bansal
1446,rishabh rajput,uttar pradesh,col_c_k_nayudu,rajput
1447,rishabh singh,uttar pradesh,col_c_k_nayudu,singh
1448,rituraj sharma,uttar pradesh,col_c_k_nayudu,sharma
1449,rohit dwivedi,uttar pradesh,col_c_k_nayudu,dwivedi
1450,sachin arvind singh,uttar pradesh,col_c_k_nayudu,singh
1451,sameer rizvi,uttar pradesh,col_c_k_nayudu,rizvi
1452,satyam chauhan,uttar pradesh,col_c_k_nayudu,chauhan
1453,shaurya singh,uttar pradesh,col_c_k_nayudu,singh
1454,shiven malhotra,uttar pradesh,col_c_k_nayudu,malhotra
1455,shoaib siddiqui,uttar pradesh,col_c_k_nayudu,siddiqui
1456,shubham mishra,uttar pradesh,col_c_k_nayudu,mishra
1457,shubham singh,uttar pradesh,col_c_k_nayudu,singh
1458,shubhanker shukla,uttar pradesh,col_c_k_nayudu,shukla
1459,siddharth yadav,uttar pradesh,col_c_k_nayudu,yadav
1460,swastik,uttar pradesh,col_c_k_nayudu,swastik
1461,vansh chaoudhary,uttar pradesh,col_c_k_nayudu,chaoudhary
1462,vasu vats,uttar pradesh,col_c_k_nayudu,vats
1463,vijay kumar,uttar pradesh,col_c_k_nayudu,kumar
1464,vijay yadav,uttar pradesh,col_c_k_nayudu,yadav
1465,vikrant chaudhary,uttar pradesh,col_c_k_nayudu,chaudhary
1466,vipraj nigam,uttar pradesh,col_c_k_nayudu,nigam
1467,yashovardhan singh,uttar pradesh,col_c_k_nayudu,singh
1468,yuvraj yadav,uttar pradesh,col_c_k_nayudu,yadav
1469,a chaudhary,uttarakhand,col_c_k_nayudu,chaudhary
1470,aanjaneya suryavanshi,uttarakhand,col_c_k_nayudu,suryavanshi
1471,abhay chettri,uttarakhand,col_c_k_nayudu,chettri
1472,abhyuday,uttarakhand,col_c_k_nayudu,abhyuday
1473,ajay,uttarakhand,col_c_k_nayudu,ajay
1474,akhilesh,uttarakhand,col_c_k_nayudu,akhilesh
1475,aniket s rahal,uttarakhand,col_c_k_nayudu,rahal
1476,ansh,uttarakhand,col_c_k_nayudu,ansh
1477,arush,uttarakhand,col_c_k_nayudu,arush
1478,asemwal,uttarakhand,col_c_k_nayudu,asemwal
1479,ashar khan,uttarakhand,col_c_k_nayudu,khan
1480,ayush negi,uttarakhand,col_c_k_nayudu,negi
1481,bhavya,uttarakhand,col_c_k_nayudu,bhavya
1482,divij digari,uttarakhand,col_c_k_nayudu,digari
1483,divyam rawat,uttarakhand,col_c_k_nayudu,rawat
1484,gurman dhillon,uttarakhand,col_c_k_nayudu,dhillon
1485,harsh,uttarakhand,col_c_k_nayudu,harsh
