mentioned_players,Competition,Team,negative,neutral,positive,total_mentions,sentiment_score
yuzvendra chahal,ranji_trophy,haryana,1,1,3,5,0.4
arshdeep singh,syed_mushtaq_ali_trophy,punjab,0,3,2,5,0.4
axar patel,syed_mushtaq_ali_trophy,gujarat,1,4,5,10,0.4
axar patel,ranji_trophy,gujarat,1,4,5,10,0.4
arshdeep singh,ranji_trophy,punjab,0,3,2,5,0.4
meet,syed_mushtaq_ali_trophy,saurashtra,3,3,8,14,0.35714285714285715
meet,col_c_k_nayudu,saurashtra,3,3,8,14,0.35714285714285715
meet,ranji_trophy,saurashtra,3,3,8,14,0.35714285714285715
dina,syed_mushtaq_ali_trophy,mizoram,1,9,7,17,0.35294117647058826
avesh khan,ranji_trophy,madhya pradesh,0,15,8,23,0.34782608695652173
avesh khan,syed_mushtaq_ali_trophy,madhya pradesh,0,15,8,23,0.34782608695652173
dev,ranji_trophy,saurashtra,7,33,31,71,0.3380281690140845
dev,col_c_k_nayudu,saurashtra,7,33,31,71,0.3380281690140845
dev,syed_mushtaq_ali_trophy,saurashtra,7,33,31,71,0.3380281690140845
karun nair,syed_mushtaq_ali_trophy,vidarbha,1,2,3,6,0.3333333333333333
piyush s,col_c_k_nayudu,vidarbha,0,2,1,3,0.3333333333333333
mukesh kumar,ranji_trophy,bengal,1,0,2,3,0.3333333333333333
mukesh kumar,syed_mushtaq_ali_trophy,bengal,1,0,2,3,0.3333333333333333
mukesh kumar,syed_mushtaq_ali_trophy,uttar pradesh,1,0,2,3,0.3333333333333333
amit,ranji_trophy,arunachal pradesh,1,4,4,9,0.3333333333333333
amit,syed_mushtaq_ali_trophy,arunachal pradesh,1,4,4,9,0.3333333333333333
mukesh kumar,ranji_trophy,uttar pradesh,1,0,2,3,0.3333333333333333
roshan,col_c_k_nayudu,sikkim,0,2,1,3,0.3333333333333333
p patidar,col_c_k_nayudu,baroda,0,2,1,3,0.3333333333333333
