mentioned_players,Competition,Team,negative,neutral,positive,total_mentions,sentiment_score
mahesh pithiya,col_c_k_nayudu,baroda,0,1,0,1,0.0
mahesh pithiya,ranji_trophy,baroda,0,1,0,1,0.0
mahesh pithiya,syed_mushtaq_ali_trophy,baroda,0,1,0,1,0.0
manan bhatt,col_c_k_nayudu,mumbai,0,1,0,1,0.0
manan vohra,ranji_trophy,chandigarh,0,1,0,1,0.0
manan vohra,syed_mushtaq_ali_trophy,chandigarh,0,1,0,1,0.0
manav vashisht,col_c_k_nayudu,punjab,0,1,0,1,0.0
m hemanth reddy,col_c_k_nayudu,andhra,0,1,0,1,0.0
m abhinav,syed_mushtaq_ali_trophy,andhra,0,3,0,3,0.0
m abhinav,col_c_k_nayudu,andhra,0,3,0,3,0.0
lunthu martin,col_c_k_nayudu,nagaland,0,1,0,1,0.0
kuldeep singh yadav,syed_mushtaq_ali_trophy,uttar pradesh,0,1,0,1,0.0
lakshay sehrawat,col_c_k_nayudu,delhi,0,2,0,2,0.0
lakshyajeet p,col_c_k_nayudu,baroda,0,1,0,1,0.0
lalit kumar,ranji_trophy,arunachal pradesh,0,1,0,1,0.0
lalit kumar,syed_mushtaq_ali_trophy,arunachal pradesh,0,1,0,1,0.0
lalit yadav,ranji_trophy,delhi,0,1,0,1,0.0
lalit yadav,ranji_trophy,vidarbha,0,1,0,1,0.0
lalit yadav,syed_mushtaq_ali_trophy,delhi,0,1,0,1,0.0
lalit yadav,syed_mushtaq_ali_trophy,vidarbha,0,1,0,1,0.0
langlonyamba m,ranji_trophy,manipur,0,1,0,1,0.0
langlonyamba m,syed_mushtaq_ali_trophy,manipur,0,1,0,1,0.0
lerry,ranji_trophy,meghalaya,0,3,0,3,0.0
lerry,syed_mushtaq_ali_trophy,meghalaya,0,3,0,3,0.0
liam blackford,second_xi,victoria,0,1,0,1,0.0
likha tayam,col_c_k_nayudu,arunachal pradesh,0,1,0,1,0.0
lokendra singh rathore,col_c_k_nayudu,rajasthan,0,6,0,6,0.0
lokesh g chauhan,col_c_k_nayudu,himachal pradesh,0,6,0,6,0.0
lokesh kumar,ranji_trophy,arunachal pradesh,0,6,0,6,0.0
lokesh kumar,syed_mushtaq_ali_trophy,arunachal pradesh,0,6,0,6,0.0
manav vashisht,syed_mushtaq_ali_trophy,punjab,0,1,0,1,0.0
warrier,syed_mushtaq_ali_trophy,tamil nadu,0,3,0,3,0.0
kuldeep sen,syed_mushtaq_ali_trophy,madhya pradesh,0,1,0,1,0.0
vishvajeet mishra,col_c_k_nayudu,bengal,0,2,0,2,0.0
mridul p surroch,ranji_trophy,himachal pradesh,0,3,0,3,0.0
mridul p surroch,syed_mushtaq_ali_trophy,himachal pradesh,0,3,0,3,0.0
muhammad hassan hameed,ecb_club,wanstead  snaresbrook,0,1,0,1,0.0
muhammed kaif,col_c_k_nayudu,kerala,0,1,0,1,0.0
mujtaba yousuf,col_c_k_nayudu,j  k,0,1,0,1,0.0
mukesh,ranji_trophy,uttarakhand,2,13,2,17,0.0
mukesh,syed_mushtaq_ali_trophy,uttarakhand,2,13,2,17,0.0
musaif ajaz,col_c_k_nayudu,j  k,0,1,0,1,0.0
musaif ajaz,syed_mushtaq_ali_trophy,j  k,0,1,0,1,0.0
virat singh,syed_mushtaq_ali_trophy,jharkhand,0,1,0,1,0.0
warrier,ranji_trophy,tamil nadu,0,3,0,3,0.0
nabam india,col_c_k_nayudu,arunachal pradesh,0,1,0,1,0.0
naman gaurav,col_c_k_nayudu,bihar,0,1,0,1,0.0
nara weshi,col_c_k_nayudu,arunachal pradesh,0,2,0,2,0.0
natha shehbaj,col_c_k_nayudu,baroda,0,3,0,3,0.0
negi,col_c_k_nayudu,uttarakhand,0,2,0,2,0.0
nehal pajni,ranji_trophy,chandigarh,0,1,0,1,0.0
nehal pajni,syed_mushtaq_ali_trophy,chandigarh,0,1,0,1,0.0
nic broes,second_xi,australian capital territory,0,3,0,3,0.0
nich mima,col_c_k_nayudu,arunachal pradesh,0,2,0,2,0.0
mridul p surroch,col_c_k_nayudu,himachal pradesh,0,3,0,3,0.0
money grewal,syed_mushtaq_ali_trophy,delhi,0,4,0,4,0.0
money grewal,ranji_trophy,delhi,0,4,0,4,0.0
mohit,syed_mushtaq_ali_trophy,rajasthan,5,13,5,23,0.0
vivek vashisht,syed_mushtaq_ali_trophy,chandigarh,0,1,0,1,0.0
vivek vashisht,ranji_trophy,chandigarh,0,1,0,1,0.0
md arif,col_c_k_nayudu,sikkim,0,1,0,1,0.0
md saif,col_c_k_nayudu,mumbai,0,1,0,1,0.0
meet bhavsar,col_c_k_nayudu,rajasthan,0,2,0,2,0.0
meet bhavsar,syed_mushtaq_ali_trophy,rajasthan,0,2,0,2,0.0
meet g,col_c_k_nayudu,saurashtra,0,1,0,1,0.0
mehul v pathania,col_c_k_nayudu,himachal pradesh,0,2,0,2,0.0
milind mondal,col_c_k_nayudu,bengal,0,2,0,2,0.0
mindu tsering,col_c_k_nayudu,arunachal pradesh,0,2,0,2,0.0
mit mangukiya,col_c_k_nayudu,baroda,0,2,0,2,0.0
mohammad afreedi,ranji_trophy,hyderabad,0,5,0,5,0.0
mohammad afreedi,syed_mushtaq_ali_trophy,hyderabad,0,5,0,5,0.0
mohammed shami,ranji_trophy,bengal,0,2,0,2,0.0
mohammed shami,syed_mushtaq_ali_trophy,bengal,0,2,0,2,0.0
mohammed waseef mukadam,syed_mushtaq_ali_trophy,pondicherry,0,1,0,1,0.0
mohd abdul adnan,col_c_k_nayudu,hyderabad,0,1,0,1,0.0
mohd abdul adnan,syed_mushtaq_ali_trophy,hyderabad,0,1,0,1,0.0
mohit,ranji_trophy,rajasthan,5,13,5,23,0.0
yash dayal,syed_mushtaq_ali_trophy,uttar pradesh,2,9,2,13,0.0
kuldeep singh yadav,ranji_trophy,uttar pradesh,0,1,0,1,0.0
vijay r,syed_mushtaq_ali_trophy,pondicherry,1,0,1,2,0.0
ishan afridi,ranji_trophy,madhya pradesh,0,5,0,5,0.0
joe seager,ecb_club,tamworth,0,1,0,1,0.0
johnson,ranji_trophy,manipur,0,1,0,1,0.0
johnson,syed_mushtaq_ali_trophy,manipur,0,1,0,1,0.0
ishan afridi,col_c_k_nayudu,madhya pradesh,0,5,0,5,0.0
hrithik shokeen,ranji_trophy,delhi,0,6,0,6,0.0
josh little,ecb_club,horwich rmi,0,1,0,1,0.0
joshua brown,domestic_one_day,victoria,0,3,0,3,0.0
jotin pheiroijam,ranji_trophy,manipur,0,1,0,1,0.0
jotin pheiroijam,syed_mushtaq_ali_trophy,manipur,0,1,0,1,0.0
k nikhileshwar,col_c_k_nayudu,andhra,0,7,0,7,0.0
k nithish kumar reddy,col_c_k_nayudu,andhra,0,12,0,12,0.0
k nithish kumar reddy,ranji_trophy,andhra,0,12,0,12,0.0
k nithish kumar reddy,syed_mushtaq_ali_trophy,andhra,0,12,0,12,0.0
k revanth reddy,col_c_k_nayudu,andhra,0,3,0,3,0.0
k revanth reddy,ranji_trophy,andhra,0,3,0,3,0.0
k revanth reddy,syed_mushtaq_ali_trophy,andhra,0,3,0,3,0.0
k rohit rayudu,ranji_trophy,hyderabad,0,1,0,1,0.0
kuldeep sen,ranji_trophy,madhya pradesh,0,1,0,1,0.0
k rohit rayudu,syed_mushtaq_ali_trophy,hyderabad,0,1,0,1,0.0
jitumoni kalita,syed_mushtaq_ali_trophy,assam,0,1,0,1,0.0
jitumoni kalita,ranji_trophy,assam,0,1,0,1,0.0
jhathavedh subramanyan,syed_mushtaq_ali_trophy,tamil nadu,0,1,0,1,0.0
jake fraser-mcgurk,sheffield_shield,sa,0,5,0,5,0.0
ishan chopra,col_c_k_nayudu,delhi,0,1,0,1,0.0
ishan sharma,col_c_k_nayudu,hyderabad,0,1,0,1,0.0
j k bhatt,col_c_k_nayudu,gujarat,0,1,0,1,0.0
j unadkat,ranji_trophy,saurashtra,0,1,0,1,0.0
j unadkat,syed_mushtaq_ali_trophy,saurashtra,0,1,0,1,0.0
jahir ahammed,col_c_k_nayudu,bengal,0,2,0,2,0.0
jairam kasyap,col_c_k_nayudu,hyderabad,0,1,0,1,0.0
jake fraser-mcgurk,domestic_one_day,sa,0,5,0,5,0.0
james southgate,ecb_club,east molesey,0,10,0,10,0.0
jhathavedh subramanyan,ranji_trophy,tamil nadu,0,1,0,1,0.0
jaskirat singh mehra,col_c_k_nayudu,chandigarh,0,4,0,4,0.0
jatin vashisht,col_c_k_nayudu,arunachal pradesh,0,3,0,3,0.0
jay bhavsar,ranji_trophy,arunachal pradesh,0,1,0,1,0.0
jay bhavsar,syed_mushtaq_ali_trophy,arunachal pradesh,0,1,0,1,0.0
jayant tambi,col_c_k_nayudu,rajasthan,0,1,0,1,0.0
jayanta bhattacharajee,col_c_k_nayudu,tripura,0,1,0,1,0.0
jaymeet patel,ranji_trophy,gujarat,0,1,0,1,0.0
jaymeet patel,syed_mushtaq_ali_trophy,gujarat,0,1,0,1,0.0
k s raju,col_c_k_nayudu,andhra,0,4,0,4,0.0
k s raju,ranji_trophy,andhra,0,4,0,4,0.0
k s raju,syed_mushtaq_ali_trophy,andhra,0,4,0,4,0.0
khurram reja khan,ranji_trophy,arunachal pradesh,0,3,0,3,0.0
kashyap bakle,ranji_trophy,goa,0,1,0,1,0.0
kashyap bakle,syed_mushtaq_ali_trophy,goa,0,1,0,1,0.0
kashyap suva,col_c_k_nayudu,saurashtra,0,1,0,1,0.0
kaushal hattangadi,col_c_k_nayudu,goa,0,1,0,1,0.0
kaushal s tambe,col_c_k_nayudu,maharashtra,0,1,0,1,0.0
kazi junaid saifi,ranji_trophy,bengal,0,1,0,1,0.0
kazi junaid saifi,syed_mushtaq_ali_trophy,bengal,0,1,0,1,0.0
kevin christopher,col_c_k_nayudu,meghalaya,0,2,0,2,0.0
kevin mehta,col_c_k_nayudu,baroda,0,4,0,4,0.0
khurram reja khan,syed_mushtaq_ali_trophy,arunachal pradesh,0,3,0,3,0.0
k s s jayanth,col_c_k_nayudu,andhra,0,6,0,6,0.0
kivnoor singh,col_c_k_nayudu,chhattisgarh,0,15,0,15,0.0
krains fuletra,col_c_k_nayudu,saurashtra,0,3,0,3,0.0
krains fuletra,ranji_trophy,saurashtra,0,3,0,3,0.0
krains fuletra,syed_mushtaq_ali_trophy,saurashtra,0,3,0,3,0.0
yash dayal,ranji_trophy,uttar pradesh,2,9,2,13,0.0
kritagya k k singh,ranji_trophy,uttar pradesh,0,1,0,1,0.0
kritagya k k singh,syed_mushtaq_ali_trophy,uttar pradesh,0,1,0,1,0.0
wilf la fontaine jackson,ecb_club,st cross symondians,0,1,0,1,0.0
kuldeep chouhan,col_c_k_nayudu,baroda,0,1,0,1,0.0
kartik tyagi,syed_mushtaq_ali_trophy,uttar pradesh,0,1,0,1,0.0
kartik tyagi,ranji_trophy,uttar pradesh,0,1,0,1,0.0
kartik bhatt,col_c_k_nayudu,uttarakhand,0,1,0,1,0.0
karn sharma,syed_mushtaq_ali_trophy,railways,2,5,2,9,0.0
kamal,ranji_trophy,uttarakhand,0,1,0,1,0.0
kamal,syed_mushtaq_ali_trophy,uttarakhand,0,1,0,1,0.0
kamlesh nagarkoti,ranji_trophy,rajasthan,0,1,0,1,0.0
kamlesh nagarkoti,syed_mushtaq_ali_trophy,rajasthan,0,1,0,1,0.0
kamsha yangfo,ranji_trophy,arunachal pradesh,0,1,0,1,0.0
kamsha yangfo,syed_mushtaq_ali_trophy,arunachal pradesh,0,1,0,1,0.0
kanhaiya bhatt,col_c_k_nayudu,uttarakhand,0,1,0,1,0.0
karan kannan,col_c_k_nayudu,pondicherry,0,1,0,1,0.0
karan lamba,col_c_k_nayudu,rajasthan,0,1,0,1,0.0
karan lamba,ranji_trophy,rajasthan,0,1,0,1,0.0
karan lamba,syed_mushtaq_ali_trophy,rajasthan,0,1,0,1,0.0
karan sharma,col_c_k_nayudu,chandigarh,1,1,1,3,0.0
karan sharma,ranji_trophy,uttar pradesh,1,1,1,3,0.0
karan sharma,syed_mushtaq_ali_trophy,uttar pradesh,1,1,1,3,0.0
karl brown,ecb_club,leigh,0,3,0,3,0.0
karn kashyap,col_c_k_nayudu,delhi,0,1,0,1,0.0
karn sharma,ranji_trophy,railways,2,5,2,9,0.0
ishan afridi,syed_mushtaq_ali_trophy,madhya pradesh,0,5,0,5,0.0
harsh,col_c_k_nayudu,uttarakhand,27,46,21,94,-0.06382978723404255
travis head,sheffield_shield,sa,8,14,5,27,-0.1111111111111111
bharat,col_c_k_nayudu,meghalaya,1,6,0,7,-0.14285714285714285
badal,col_c_k_nayudu,odisha,1,5,0,6,-0.16666666666666666
josh inglis,domestic_one_day,wa,1,4,0,5,-0.2
josh inglis,sheffield_shield,wa,1,4,0,5,-0.2
mayank agarawal,syed_mushtaq_ali_trophy,karnataka,2,1,1,4,-0.25
mayank agarawal,ranji_trophy,karnataka,2,1,1,4,-0.25
mayank yadav,col_c_k_nayudu,chhattisgarh,1,2,0,3,-0.3333333333333333
mayank yadav,ranji_trophy,delhi,1,2,0,3,-0.3333333333333333
mayank yadav,syed_mushtaq_ali_trophy,delhi,1,2,0,3,-0.3333333333333333
b sachin,col_c_k_nayudu,tamil nadu,1,2,0,3,-0.3333333333333333
ajinkya rahane,syed_mushtaq_ali_trophy,mumbai,1,2,0,3,-0.3333333333333333
ajinkya rahane,ranji_trophy,mumbai,1,2,0,3,-0.3333333333333333
mayank yadav,ranji_trophy,chhattisgarh,1,2,0,3,-0.3333333333333333
mayank yadav,syed_mushtaq_ali_trophy,chhattisgarh,1,2,0,3,-0.3333333333333333
harshit,col_c_k_nayudu,chandigarh,13,8,4,25,-0.36
harshit,col_c_k_nayudu,bihar,13,8,4,25,-0.36
nitish reddy,ranji_trophy,hyderabad,4,2,1,7,-0.42857142857142855
nitish reddy,syed_mushtaq_ali_trophy,hyderabad,4,2,1,7,-0.42857142857142855
harshit rana,ranji_trophy,delhi,8,3,2,13,-0.46153846153846156
harshit rana,syed_mushtaq_ali_trophy,delhi,8,3,2,13,-0.46153846153846156
n yadav,ranji_trophy,services,2,2,0,4,-0.5
ravinder,ranji_trophy,uttarakhand,1,1,0,2,-0.5
shahrukh khan,syed_mushtaq_ali_trophy,tamil nadu,1,1,0,2,-0.5
ravinder,syed_mushtaq_ali_trophy,uttarakhand,1,1,0,2,-0.5
shahrukh khan,ranji_trophy,tamil nadu,1,1,0,2,-0.5
n yadav,syed_mushtaq_ali_trophy,services,2,2,0,4,-0.5
harshit m,col_c_k_nayudu,baroda,3,2,0,5,-0.6
annam takshith rao,col_c_k_nayudu,hyderabad,2,1,0,3,-0.6666666666666666
aditya,col_c_k_nayudu,bihar,2,0,0,2,-1.0
akshit rana,col_c_k_nayudu,chandigarh,2,0,0,2,-1.0
akshit r kanwar,col_c_k_nayudu,himachal pradesh,2,0,0,2,-1.0
aditya tare,ranji_trophy,uttarakhand,1,0,0,1,-1.0
aditya tare,syed_mushtaq_ali_trophy,uttarakhand,1,0,0,1,-1.0
gautam,ranji_trophy,bihar,1,0,0,1,-1.0
shivam mavi,syed_mushtaq_ali_trophy,uttar pradesh,1,0,0,1,-1.0
xavier bartlett,sheffield_shield,qld,1,0,0,1,-1.0
gautam,syed_mushtaq_ali_trophy,bihar,1,0,0,1,-1.0
harshit dubey,col_c_k_nayudu,madhya pradesh,2,0,0,2,-1.0
harshit yadav,col_c_k_nayudu,madhya pradesh,2,0,0,2,-1.0
shivam mavi,ranji_trophy,uttar pradesh,1,0,0,1,-1.0
xavier bartlett,domestic_one_day,qld,1,0,0,1,-1.0
kshitij patil,col_c_k_nayudu,maharashtra,2,0,0,2,-1.0
washington sundar,syed_mushtaq_ali_trophy,tamil nadu,1,0,0,1,-1.0
washington sundar,ranji_trophy,tamil nadu,1,0,0,1,-1.0
rishit n thakur,col_c_k_nayudu,himachal pradesh,2,0,0,2,-1.0
rishith reddy,col_c_k_nayudu,hyderabad,2,0,0,2,-1.0
a badrinath,col_c_k_nayudu,tamil nadu,1,0,0,1,-1.0
